Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Iran, Islamic Rep.",IRN,208.4749,353.9396,629.4902,642.3063,666.3808,661.4499,712.5804,735.8709,784.2646,792.0589,816.133,828.9896
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Iraq,IRQ,69.4445,88.811,137.9041,155.0442,167.3453,180.9429,193.6481,183.8743,199.7098,222.2784,232.976,238.6704
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Ireland,IRL,32.3392,43.827,37.648,39.5133,38.2632,38.0252,36.369,34.2933,36.3826,35.6861,32.8629,32.5693
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Israel,ISR,35.223,59.2839,67.9917,67.5521,67.8229,63.4982,65.3145,61.3925,60.972,63.6364,60.4805,57.6654
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Italy,ITA,426.0575,454.3191,353.7401,349.1697,345.6817,340.3734,332.562,295.2134,330.3484,331.006,304.3081,299.2285
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Jamaica,JAM,7.7041,10.2444,7.1067,7.6254,7.3076,8.6911,8.4395,5.9229,6.4724,7.5151,7.7039,8.074
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Japan,JPN,1162.2863,1243.5768,1232.5762,1228.6537,1212.9423,1163.1278,1123.813,1060.2269,1080.206,1050.5032,1002.4382,972.267
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Jordan,JOR,10.0718,16.4657,25.6334,25.2353,26.5502,25.2117,23.2902,20.948,21.7432,23.338,24.0408,24.144
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kazakhstan,KAZ,248.6294,132.224,202.7539,216.1249,226.4516,229.3799,218.8149,225.4957,241.9078,246.5276,255.4342,258.8037
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kenya,KEN,6.4662,8.9072,17.0005,18.5033,19.2464,19.1369,19.4769,19.1646,21.5155,21.9726,21.2679,21.6387
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kiribati,KIR,0.0167,0.0324,0.0623,0.0678,0.0691,0.0759,0.0761,0.0737,0.0805,0.0758,0.076,0.0797
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Korea, Dem. People's Rep.",PRK,131.9645,73.8063,32.6541,36.0271,73.5427,66.3965,73.4111,69.045,57.2906,59.8036,65.6588,66.2394
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Korea, Rep.",KOR,260.2326,466.4031,643.7994,648.8158,665.288,680.496,654.9901,617.3408,638.7702,613.5467,590.365,588.0089
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kuwait,KWT,32.4079,56.0212,95.5891,98.4,97.4646,99.0797,96.8283,92.9479,99.8995,102.6178,110.1591,115.9313
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Kyrgyz Republic,KGZ,23.6564,4.7979,10.3162,9.7414,9.6372,11.4718,10.2267,9.3085,10.515,10.5011,10.2304,10.745
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Lao PDR,LAO,0.2559,0.9345,8.9275,15.871,19.2442,19.8623,19.3701,19.4378,23.8166,24.0315,25.7437,26.0627
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Latvia,LVA,19.6191,7.2309,7.648,7.4806,7.4321,8.1079,7.9078,7.2771,7.5304,6.9268,6.9004,6.8072
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Lebanon,LBN,5.9745,15.3085,26.9054,27.8657,29.2967,27.4937,27.0043,21.8207,16.715,10.435,10.8188,11.0041
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Lesotho,LSO,0.1088,0.3508,0.5966,0.6575,0.7193,0.7577,0.7834,0.7032,0.7644,0.9811,0.9915,1.0006
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Liberia,LBR,0.3752,0.3992,1.233,1.3852,1.2306,0.6419,1.0095,0.8348,0.8408,0.8686,0.8395,0.8671
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Libya,LBY,32.6224,49.2846,54.4819,51.1525,55.3948,57.2685,57.4746,45.7025,58.3609,58.1734,63.2042,63.9534
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Lithuania,LTU,35.1223,11.6567,13.6606,13.5202,13.9642,14.0184,14.2965,14.2541,14.3318,13.1703,12.9794,12.97
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Luxembourg,LUX,11.9786,8.8008,9.3094,9.0415,9.1884,9.5448,9.6917,7.9929,8.3806,7.2657,6.9416,7.1474
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Macao SAR, China",MAC,0.9437,1.4592,2.759,2.6259,2.8865,2.1256,2.2473,2.2329,2.0473,1.6785,1.6805,1.7349
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Madagascar,MDG,0.9079,1.6942,3.4183,3.2513,3.5528,3.2753,4.0111,3.1281,4.103,4.384,4.5942,4.6827
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Malawi,MWI,1.5368,3.0984,4.909,4.9059,5.408,5.4582,5.6074,5.2063,6.1189,5.6023,4.7047,4.7949
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Malaysia,MYS,64.4242,130.7612,252.8595,247.4841,237.8324,254.2848,255.1651,253.08,257.9155,276.9845,282.3786,295.9542
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Maldives,MDV,0.0946,0.6278,1.5884,1.7341,1.6081,1.3863,1.5153,1.208,1.6808,1.7895,1.7942,1.8824
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Mali,MLI,0.3193,0.796,3.5312,4.5795,5.1611,5.782,6.1138,6.8432,7.3008,7.4928,7.177,7.4121
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Malta,MLT,2.3219,2.135,1.6722,1.3655,1.5582,1.5674,1.673,1.6204,1.6274,1.7963,1.7877,1.8083
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Marshall Islands,MHL,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Mauritania,MRT,0.7071,1.0582,2.757,2.6247,3.809,4.4355,4.4862,4.6354,4.4111,5.0263,4.8274,5.0116
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Mauritius,MUS,1.1871,2.4433,3.9907,4.0649,4.2071,4.1718,4.2052,3.745,3.9879,4.0499,4.3225,4.4055
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Mexico,MEX,289.6625,396.7431,490.4272,496.4682,500.6875,478.1534,493.673,439.0381,452.7201,452.9546,475.5955,475.9921
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Micronesia, Fed. Sts.",FSM,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Moldova,MDA,31.8171,6.8956,8.2992,8.4234,8.3058,8.8624,9.1101,8.8484,9.6527,8.2882,8.2074,8.2081
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Mongolia,MNG,13.1479,9.0405,18.0259,19.1168,21.0753,22.9567,25.3355,22.5155,24.8887,24.9553,27.1526,27.6578
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Morocco,MAR,22.4611,33.5686,61.1459,61.011,63.8616,65.197,71.8694,67.5867,73.1296,72.3256,70.0459,70.0409
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Mozambique,MOZ,1.1619,1.571,6.4582,8.3319,8.3122,8.0554,8.6293,7.9534,9.1439,10.8972,10.719,10.1127
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Myanmar,MMR,4.4326,10.042,19.7406,22.9806,33.7539,33.5187,34.3911,34.7186,31.8377,31.031,31.241,31.3628
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Namibia,NAM,1.2486,1.9154,3.5661,3.8987,3.7537,3.8098,3.8576,3.5444,3.7053,3.5799,3.6138,3.6498
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Nauru,NRU,0,0,0,0,0,0,0,0,0,0,0,0
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Nepal,NPL,1.0884,3.4194,7.3221,10.764,13.1998,14.9259,13.4612,16.4562,17.383,15.0454,15.432,15.8919
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Netherlands,NLD,164.8181,176.8545,169.3542,170.7937,168.176,163.095,157.9744,142.1604,145.8948,133.114,122.9178,118.7909
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,New Caledonia,NCL,1.5733,2.1568,4.5637,4.8748,4.3928,6.0252,5.7837,5.6478,4.6621,4.6157,4.8646,4.9983
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,New Zealand,NZL,24.9835,32.9982,35.3887,34.7426,36.2664,35.6335,37.2453,34.6699,34.7093,32.1246,31.776,31.8146
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Nicaragua,NIC,1.9647,3.7702,5.4971,5.7223,5.6825,5.1803,5.3239,4.7462,5.1925,5.2612,5.5369,5.7393
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Niger,NER,0.6205,0.7016,2.1698,2.1674,1.9739,2.0278,2.3731,2.4096,2.8588,3.2178,3.1629,3.2142
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Nigeria,NGA,75.1111,100.1949,118.4539,123.4796,116.0398,121.4082,126.1061,118.9178,130.9005,129.0417,125.8687,131.9101
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,North Macedonia,MKD,11.1902,9.0375,7.9328,7.6209,7.9803,7.5427,8.6778,7.5804,7.634,8.2042,8.0203,7.2973
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Northern Mariana Islands,MNP,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Norway,NOR,36.3128,41.7695,47.9542,47.3711,47.4084,46.6404,45.3466,43.7079,44.4278,43.5471,41.6042,39.9995
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Oman,OMN,16.41,26.3172,79.3244,80.628,81.3599,84.3771,85.4259,82.166,87.7273,93.1054,95.7346,98.5112
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Pakistan,PAK,65.6405,111.8899,178.2841,196.7976,213.2958,202.3124,198.8407,222.5997,229.1366,235.3725,208.8895,203.9883
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Palau,PLW,2.156,2.122,1.1954,1.1444,1.1964,1.2305,1.2683,1.2764,1.329,1.3981,1.3979,1.4659
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Panama,PAN,2.7219,5.1903,10.6313,10.6644,10.1483,9.9261,13.1641,9.7127,10.7711,11.4431,12.7389,12.365
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Papua New Guinea,PNG,2.1499,2.9145,5.9739,6.621,5.7792,4.904,5.0364,5.4744,5.3867,5.5295,5.498,5.4677
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Paraguay,PRY,2.184,3.6426,6.661,7.5122,8.4688,8.7429,8.5218,7.8549,7.9771,8.0051,7.7424,8.0253
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Peru,PER,20.8441,28.9865,54.9014,57.5009,55.2172,55.3468,58.1719,47.5328,59.6288,63.74,65.0789,69.2652
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Philippines,PHL,42.7042,74.2644,113.1874,121.2972,135.646,141.3358,147.9244,136.3845,145.6114,151.7004,162.4527,174.1143
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Poland,POL,371.5249,313.0274,305.7942,316.728,330.2221,329.6329,312.0707,296.8799,324.0123,307.9616,280.6501,276.0619
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Portugal,PRT,43.8614,64.2448,51.7215,50.523,55.1436,51.1078,46.4279,40.6444,38.962,39.6684,37.4114,35.5573
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Puerto Rico (US),PRI,19.0188,25.184,12.0971,11.3493,11.6298,13.7156,12.6257,12.4658,12.6669,13.9178,14.63,15.4301
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Qatar,QAT,16.9819,31.7522,114.0841,114.0546,114.1057,114.8966,117.6635,115.3371,118.4421,120.1007,129.1964,135.2669
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Romania,ROU,187.7299,97.504,80.304,78.7065,81.7983,83.0019,81.1522,75.7011,80.7465,75.6755,70.2532,70.8832
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Russian Federation,RUS,2436.2695,1681.1521,1757.1139,1734.6382,1763.2401,1831.1328,1858.002,1784.1991,1938.4596,1895.4729,1948.3024,2009.1541
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Rwanda,RWA,0.553,0.6805,1.1072,1.2106,1.3115,1.4591,1.5151,1.4554,1.7066,2.2012,2.2883,2.3114
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Samoa,WSM,0.1228,0.186,0.3288,0.3542,0.3165,0.3447,0.3735,0.3132,0.3435,0.3324,0.3333,0.3498
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Sao Tome and Principe,STP,0.0386,0.0547,0.1407,0.1464,0.1491,0.1525,0.1591,0.1541,0.1583,0.1412,0.1456,0.1477
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Saudi Arabia,SAU,173.9024,265.2402,611.4483,609.5099,603.3295,580.0429,579.8088,577.1045,590.321,620.4308,635.4338,652.511
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Senegal,SEN,2.3652,3.9891,9.2184,10.2971,10.2029,10.7355,11.0288,10.8149,13.1241,14.5438,13.717,14.2023
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Seychelles,SYC,0.2659,0.7545,0.9868,1.1003,1.1528,1.0053,0.8948,0.8388,0.7882,0.8424,0.8395,0.8782
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Sierra Leone,SLE,0.633,0.4316,1.0224,1.0587,1.0446,1.2108,1.2073,1.2307,1.4724,1.4668,1.4104,1.4618
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Singapore,SGP,31.6482,45.5193,55.1746,52.9724,56.8881,54.2117,55.8876,53.8768,55.7179,56.3467,56.1013,58.8681
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Slovak Republic,SVK,60.6348,41.6845,34.526,35.4446,37.7288,37.2427,34.8074,32.6439,36.6483,33.1887,31.1483,29.8925
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Slovenia,SVN,14.6861,15.094,14.2949,15.0187,15.3443,15.45,14.8261,13.5406,13.8601,13.3893,12.6186,13.3314
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Solomon Islands,SLB,0.1586,0.2328,0.3336,0.3236,0.2919,0.3252,0.3193,0.3077,0.3326,0.299,0.2998,0.3145
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Somalia, Fed. Rep.",SOM,0.6287,0.6253,0.8225,0.8378,0.8367,0.8562,0.8465,0.7896,0.8172,0.8329,0.8496,0.8652
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,South Africa,ZAF,314.2149,347.2832,462.2677,460.1959,469.5833,473.4182,477.5446,450.8617,448.5635,429.3281,427.2669,440.1678
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Spain,ESP,229.4678,310.3327,271.5397,263.0479,278.3849,271.7891,254.3514,214.4546,233.1927,238.6544,220.9934,220.0839
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Sri Lanka,LKA,4.239,11.4667,19.7111,23.486,23.4107,21.9829,23.973,22.6144,22.8196,20.7971,21.5803,23.3347
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,St. Kitts and Nevis,KNA,0.0208,0.0497,0.1019,0.1115,0.104,0.1111,0.1302,0.1196,0.1162,0.1301,0.1305,0.1351
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,St. Lucia,LCA,0.0715,0.0968,0.1824,0.1964,0.1963,0.2592,0.2947,0.2776,0.2822,0.2961,0.297,0.3075
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,St. Vincent and the Grenadines,VCT,0.0294,0.0419,0.0951,0.1012,0.1091,0.1102,0.1165,0.1238,0.1174,0.1271,0.1275,0.132
